UNIX Time,Date,Time,Price,Volume,Open,High,Low,Close,MACD (12|26|9)-EMAS,MACD (12|26|9)-EMAF,MACD (12|26|9)-MACD,MACD (12|26|9)-SIGNAL
1379653200,09/20/2013,00:00:00,56.1,5571100,59.95,62.5,54.51,56.1,56.10000000,56.10000000,0.00000000,0.00000000
1379912400,09/23/2013,00:00:00,60.56,819300,54.79,61.98,53.0,60.56,56.78615385,56.43037037,0.35578348,0.07115670
1379998800,09/24/2013,00:00:00,58.29,729100,62.98,64.23,57.55,58.29,57.01751479,56.56812071,0.44939408,0.14680417
1380085200,09/25/2013,00:00:00,57.68,216100,58.89,59.75,56.22,57.68,57.11943559,56.65048214,0.46895345,0.21123403
1380171600,09/26/2013,00:00:00,55.74,243500,56.89,58.28,55.2,55.74,56.90721473,56.58303902,0.32417571,0.23382237
1380258000,09/27/2013,00:00:00,52.59,595900,55.08,55.41,51.0,52.59,56.24302785,56.28725835,-0.04423050,0.17821179
1380517200,09/30/2013,00:00:00,53.74,359600,51.0,55.49,50.9,53.74,55.85794664,56.09857255,-0.24062590,0.09444425
1380603600,10/01/2013,00:00:00,55.71,189500,54.15,56.31,53.05,55.71,55.83518562,56.06978940,-0.23460378,0.02863465
1380690000,10/02/2013,00:00:00,57.35,222200,56.0,59.01,54.35,57.35,56.06823399,56.16461981,-0.09638582,0.00363055
1380776400,10/03/2013,00:00:00,60.5,279500,57.49,60.87,57.0,60.5,56.75004414,56.48575908,0.26428506,0.05576145
1380862800,10/04/2013,00:00:00,62.52,834600,61.77,68.0,60.97,62.52,57.63772966,56.93273989,0.70498977,0.18560712
1381122000,10/07/2013,00:00:00,65.96,556400,64.07,68.56,63.13,65.96,58.91807894,57.60142583,1.31665312,0.41181632
1381208400,10/08/2013,00:00:00,61.01,389900,67.11,67.2,60.1,61.01,59.23991295,57.85391280,1.38600015,0.60665308
1381294800,10/09/2013,00:00:00,59.32,392800,62.15,63.76,58.25,59.32,59.25223404,57.96251185,1.28972218,0.74326690
1381381200,10/10/2013,00:00:00,61.91,245300,63.25,64.2,60.49,61.91,59.66112111,58.25491838,1.40620272,0.87585407
1381467600,10/11/2013,00:00:00,62.06,150500,62.95,62.95,61.15,62.06,60.03017940,58.53677628,1.49340312,0.99936388
1381726800,10/14/2013,00:00:00,61.4,111600,60.96,61.75,59.9,61.4,60.24092103,58.74886693,1.49205410,1.09790192
1381813200,10/15/2013,00:00:00,60.6,187400,63.88,63.88,59.5,60.6,60.29616395,58.88598790,1.41017605,1.16035675
1381899600,10/16/2013,00:00:00,61.23,154900,61.0,62.0,60.0,61.23,60.43983103,59.05961842,1.38021261,1.20432792
1381986000,10/17/2013,00:00:00,63.61,145100,60.43,64.0,60.11,63.61,60.92754934,59.39668372,1.53086561,1.26963546
1382072400,10/18/2013,00:00:00,66.43,244700,65.86,67.88,63.97,66.43,61.77408021,59.91767011,1.85641009,1.38699039
1382331600,10/21/2013,00:00:00,64.93,113300,68.0,68.0,64.68,64.93,62.25960633,60.28895381,1.97065252,1.50372281
1382418000,10/22/2013,00:00:00,63.37,212600,64.01,66.06,62.65,63.37,62.43043612,60.51717945,1.91325667,1.58562958
1382504400,10/23/2013,00:00:00,61.08,196500,62.44,63.87,60.2,61.08,62.22267672,60.55886986,1.66380686,1.60126504
1382590800,10/24/2013,00:00:00,60.55,160600,61.46,62.01,59.5,60.55,61.96534184,60.55821284,1.40712900,1.56243783
1382677200,10/25/2013,00:00:00,61.72,110500,60.6,61.92,60.6,61.72,61.92759694,60.64427115,1.28332580,1.50661542
1382936400,10/28/2013,00:00:00,58.84,114000,62.72,62.75,58.5,58.84,61.45258203,60.51062143,0.94196060,1.39368446
1383022800,10/29/2013,00:00:00,56.0,161600,59.0,59.81,55.75,56.0,60.61372325,60.17650133,0.43722193,1.20239195
1383109200,10/30/2013,00:00:00,54.56,421400,56.0,58.55,54.16,54.56,59.68238122,59.76046419,-0.07808297,0.94629697
1383195600,10/31/2013,00:00:00,51.04,411800,54.71,55.58,50.9,51.04,58.35278411,59.11450388,-0.76171977,0.60469362
