UNIX Time,Date,Time,Price,Volume,Open,High,Low,Close,MACD (12|26|9)-EMAS,MACD (12|26|9)-EMAF,MACD (12|26|9)-MACD,MACD (12|26|9)-SIGNAL
1396414800,04/02/2014,00:00:00,20.09,8471101,17.5,21.2,17.12,20.09,20.09000000,20.09000000,0.00000000,0.00000000
1396501200,04/03/2014,00:00:00,19.85,1154100,20.42,21.37,19.53,19.85,20.05307692,20.07222222,-0.01914530,-0.00382906
1396587600,04/04/2014,00:00:00,19.0,477000,19.7,20.19,18.7,19.0,19.89106509,19.99279835,-0.10173327,-0.02340990
1396846800,04/07/2014,00:00:00,19.41,273000,19.59,19.82,18.75,19.41,19.81705508,19.94962811,-0.13257303,-0.04524253
1396933200,04/08/2014,00:00:00,19.85,172500,19.5,20.25,19.41,19.85,19.82212353,19.94224825,-0.12012472,-0.06021897
1397019600,04/09/2014,00:00:00,20.03,133700,19.72,20.25,19.25,20.03,19.85410452,19.94874838,-0.09464385,-0.06710394
1397106000,04/10/2014,00:00:00,20.11,154200,19.81,20.2,19.27,20.11,19.89347306,19.96069294,-0.06721988,-0.06712713
1397192400,04/11/2014,00:00:00,19.69,225600,19.88,20.07,19.0,19.69,19.86216951,19.94064161,-0.07847210,-0.06939613
1397451600,04/14/2014,00:00:00,20.13,121200,19.99,20.36,19.74,20.13,19.90337420,19.95466816,-0.05129396,-0.06577569
1397538000,04/15/2014,00:00:00,21.0,220600,20.31,21.44,18.76,21.0,20.07208586,20.03210015,0.03998571,-0.04462341
1397624400,04/16/2014,00:00:00,20.69,176300,21.53,22.98,20.39,20.69,20.16714958,20.08083347,0.08631611,-0.01843551
1397710800,04/17/2014,00:00:00,20.05,135800,20.5,20.74,19.74,20.05,20.14912656,20.07854951,0.07057705,-0.00063300
1398056400,04/21/2014,00:00:00,20.21,43600,20.25,20.55,19.84,20.21,20.15849171,20.08828658,0.07020513,0.01353463
1398142800,04/22/2014,00:00:00,22.24,172900,20.21,22.3,20.2,22.24,20.47872375,20.24767276,0.23105099,0.05703790
