UNIX Time,Date,Time,Price,Volume,Open,High,Low,Close,MACD (12|26|9)-EMAS,MACD (12|26|9)-EMAF,MACD (12|26|9)-MACD,MACD (12|26|9)-SIGNAL
1392012000,02/10/2014,00:00:00,10.37,157700,9.1,11.1,9.1,10.37,10.37000000,10.37000000,0.00000000,0.00000000
1392098400,02/11/2014,00:00:00,9.85,440400,10.34,10.7,9.41,9.85,10.29000000,10.33148148,-0.04148148,-0.00829630
1392184800,02/12/2014,00:00:00,9.42,351200,9.85,9.85,9.05,9.42,10.15615385,10.26396433,-0.10781049,-0.02819913
1392271200,02/13/2014,00:00:00,9.39,212800,9.3,9.58,9.26,9.39,10.03828402,10.19922624,-0.16094221,-0.05474775
1392357600,02/14/2014,00:00:00,9.4,121300,9.5,9.5,9.11,9.4,9.94008648,10.14002429,-0.19993781,-0.08378576
1392703200,02/18/2014,00:00:00,9.42,204900,9.48,9.5,9.15,9.42,9.86007318,10.08668916,-0.22661598,-0.11235181
1392789600,02/19/2014,00:00:00,9.53,785000,9.93,9.93,9.3,9.53,9.80929269,10.04545293,-0.23616024,-0.13711349
1392876000,02/20/2014,00:00:00,9.55,405000,9.42,9.6,9.4,9.55,9.76940151,10.00875271,-0.23935120,-0.15756103
1392962400,02/21/2014,00:00:00,9.66,205400,9.62,9.74,9.5,9.66,9.75257050,9.98291917,-0.23034867,-0.17211856
1393221600,02/24/2014,00:00:00,9.6,319900,9.72,9.99,9.46,9.6,9.72909812,9.95455479,-0.22545667,-0.18278618
1393308000,02/25/2014,00:00:00,9.97,560700,9.59,9.98,9.48,9.97,9.76615995,9.95569888,-0.18953893,-0.18413673
1393394400,02/26/2014,00:00:00,10.79,359900,10.01,10.87,10.0,10.79,9.92367380,10.01749896,-0.09382516,-0.16607442
1393480800,02/27/2014,00:00:00,11.51,596500,10.9,11.63,10.75,11.51,10.16772399,10.12805460,0.03966939,-0.12492566
1393567200,02/28/2014,00:00:00,12.39,760100,11.79,12.46,11.75,12.39,10.50961260,10.29560611,0.21400650,-0.05713923
1393826400,03/03/2014,00:00:00,12.53,328200,12.39,12.8,12.01,12.53,10.82044143,10.46111677,0.35932467,0.02615355
1393912800,03/04/2014,00:00:00,13.04,666900,12.68,13.05,12.6,13.04,11.16191198,10.65214515,0.50976683,0.12287621
1393999200,03/05/2014,00:00:00,13.1,271900,13.0,13.17,12.79,13.1,11.46007937,10.83346774,0.62661163,0.22362329
1394085600,03/06/2014,00:00:00,12.97,198700,13.13,13.13,12.85,12.97,11.69237485,10.99172938,0.70064547,0.31902773
1394172000,03/07/2014,00:00:00,12.98,235800,13.14,13.14,12.86,12.98,11.89047103,11.13900869,0.75146234,0.40551465
1394427600,03/10/2014,00:00:00,12.89,271300,12.95,13.25,12.82,12.89,12.04424472,11.26871175,0.77553297,0.47951831
1394514000,03/11/2014,00:00:00,12.39,251600,12.97,12.97,12.19,12.39,12.09743784,11.35177014,0.74566770,0.53274819
1394600400,03/12/2014,00:00:00,12.66,169100,12.27,12.83,12.15,12.66,12.18398586,11.44867605,0.73530981,0.57326051
1394686800,03/13/2014,00:00:00,11.66,267600,12.64,12.66,11.39,11.66,12.10337265,11.46432968,0.63904297,0.58641701
1394773200,03/14/2014,00:00:00,11.44,133600,11.58,11.81,11.19,11.44,12.00131532,11.46252748,0.53878784,0.57689117
1395032400,03/17/2014,00:00:00,11.58,205200,11.78,11.78,11.4,11.58,11.93649758,11.47122915,0.46526843,0.55456662
1395118800,03/18/2014,00:00:00,11.2,258200,11.64,11.75,10.91,11.2,11.82319026,11.45113810,0.37205216,0.51806373
1395205200,03/19/2014,00:00:00,10.97,174200,11.25,11.27,10.64,10.97,11.69193022,11.41549824,0.27643198,0.46973738
1395291600,03/20/2014,00:00:00,11.18,95300,11.02,11.21,10.89,11.18,11.61317172,11.39805393,0.21511780,0.41881346
1395378000,03/21/2014,00:00:00,10.75,493900,11.26,11.33,10.75,10.75,11.48037607,11.35004993,0.13032614,0.36111600
1395637200,03/24/2014,00:00:00,10.54,152700,10.81,10.99,10.25,10.54,11.33570283,11.29004623,0.04565660,0.29802412
1395723600,03/25/2014,00:00:00,10.64,124700,10.63,10.71,10.5,10.64,11.22867163,11.24189466,-0.01322303,0.23577469
1395810000,03/26/2014,00:00:00,10.54,227200,10.71,10.88,10.5,10.54,11.12272215,11.18990246,-0.06718032,0.17518369
1395896400,03/27/2014,00:00:00,10.38,200300,10.57,10.67,10.31,10.38,11.00845720,11.12990969,-0.12145249,0.11585645
1395982800,03/28/2014,00:00:00,10.41,192500,10.08,10.77,10.08,10.41,10.91638686,11.07658305,-0.16019618,0.06064592
1396242000,03/31/2014,00:00:00,10.63,198300,10.51,10.95,10.33,10.63,10.87232734,11.04350282,-0.17117548,0.01428164
1396328400,04/01/2014,00:00:00,11.12,192600,10.67,11.19,10.67,11.12,10.91043083,11.04916928,-0.13873845,-0.01632237
1396414800,04/02/2014,00:00:00,11.08,128000,11.18,11.21,10.84,11.08,10.93651839,11.05145303,-0.11493464,-0.03604483
1396501200,04/03/2014,00:00:00,11.16,157300,11.0,11.2,11.0,11.16,10.97090018,11.05949355,-0.08859337,-0.04655454
1396587600,04/04/2014,00:00:00,11.09,247600,11.27,11.49,10.96,11.09,10.98922323,11.06175329,-0.07253006,-0.05174964
1396846800,04/07/2014,00:00:00,10.77,468800,11.01,11.4,10.66,10.77,10.95549658,11.04014193,-0.08464535,-0.05832878
1396933200,04/08/2014,00:00:00,11.22,181400,10.81,11.28,10.72,11.22,10.99618941,11.05346475,-0.05727534,-0.05811809
1397019600,04/09/2014,00:00:00,11.9,248400,11.29,11.95,11.08,11.9,11.13523720,11.11617107,0.01906613,-0.04268125
1397106000,04/10/2014,00:00:00,11.4,175000,11.85,11.93,11.21,11.4,11.17596993,11.13719543,0.03877450,-0.02639010
1397192400,04/11/2014,00:00:00,10.87,133000,11.09,11.44,10.74,10.87,11.12889764,11.11740318,0.01149446,-0.01881319
1397451600,04/14/2014,00:00:00,10.41,148200,10.93,10.99,10.26,10.41,11.01829800,11.06500294,-0.04670494,-0.02439154
1397538000,04/15/2014,00:00:00,9.79,285100,10.43,10.45,9.74,9.79,10.82932908,10.97055828,-0.14122920,-0.04775907
1397624400,04/16/2014,00:00:00,9.71,172200,9.8,9.91,9.53,9.71,10.65712460,10.87718359,-0.22005899,-0.08221906
1397710800,04/17/2014,00:00:00,9.76,194100,9.69,9.98,9.58,9.76,10.51910543,10.79442925,-0.27532382,-0.12084001
1398056400,04/21/2014,00:00:00,9.97,155600,9.81,10.13,9.56,9.97,10.43462767,10.73336042,-0.29873274,-0.15641856
1398142800,04/22/2014,00:00:00,9.99,110700,10.07,10.1,9.91,9.99,10.36622342,10.67829668,-0.31207327,-0.18754950
1398229200,04/23/2014,00:00:00,9.92,100700,10.0,10.03,9.81,9.92,10.29757366,10.62212656,-0.32455290,-0.21495018
1398315600,04/24/2014,00:00:00,9.75,168500,9.98,9.98,9.58,9.75,10.21333156,10.55752459,-0.34419303,-0.24079875
1398402000,04/25/2014,00:00:00,9.58,170200,9.67,9.86,9.45,9.58,10.11589593,10.48511536,-0.36921943,-0.26648288
1398661200,04/28/2014,00:00:00,9.4,214400,9.62,9.74,9.28,9.4,10.00575810,10.40473645,-0.39897835,-0.29298198
1398747600,04/29/2014,00:00:00,9.59,136700,9.54,9.64,9.43,9.59,9.94179531,10.34438560,-0.40259029,-0.31490364
1398834000,04/30/2014,00:00:00,9.58,239000,9.55,9.72,9.43,9.58,9.88613450,10.28776444,-0.40162995,-0.33224890
1398920400,05/01/2014,00:00:00,9.76,150600,9.53,9.87,9.47,9.76,9.86672919,10.24867078,-0.38194159,-0.34218744
1399006800,05/02/2014,00:00:00,9.44,93000,9.95,9.95,9.38,9.44,9.80107854,10.18876924,-0.38769070,-0.35128809
1399266000,05/05/2014,00:00:00,9.44,130900,9.39,9.53,9.1,9.44,9.74552800,10.13330485,-0.38777685,-0.35858584
1399352400,05/06/2014,00:00:00,9.03,191900,9.33,9.4,8.8,9.03,9.63544677,10.05157857,-0.41613180,-0.37009503
1399438800,05/07/2014,00:00:00,9.79,394500,9.19,9.89,8.4,9.79,9.65922419,10.03220238,-0.37297819,-0.37067167
1399525200,05/08/2014,00:00:00,9.36,226500,9.74,9.88,9.1,9.36,9.61318970,9.98240961,-0.36921991,-0.37038131
1399611600,05/09/2014,00:00:00,9.45,159500,9.3,9.49,9.09,9.45,9.58808359,9.94297186,-0.35488827,-0.36728271
1399870800,05/12/2014,00:00:00,9.95,142300,9.46,10.08,9.35,9.95,9.64376304,9.94349246,-0.29972942,-0.35377205
1399957200,05/13/2014,00:00:00,9.72,159800,9.97,9.97,9.41,9.72,9.65549180,9.92693747,-0.27144566,-0.33730677
1400043600,05/14/2014,00:00:00,9.67,85200,9.67,9.86,9.5,9.67,9.65772383,9.90790506,-0.25018123,-0.31988166
1400130000,05/15/2014,00:00:00,9.6,95200,9.61,9.63,9.35,9.6,9.64884324,9.88509728,-0.23625404,-0.30315614
1400216400,05/16/2014,00:00:00,9.88,109400,9.57,10.0,9.55,9.88,9.68440582,9.88471970,-0.20031388,-0.28258769
1400475600,05/19/2014,00:00:00,9.77,66900,9.81,10.05,9.71,9.77,9.69757416,9.87622195,-0.17864779,-0.26179971
1400562000,05/20/2014,00:00:00,9.63,182200,9.7,9.74,9.42,9.63,9.68717813,9.85798328,-0.17080515,-0.24360080
1400648400,05/21/2014,00:00:00,9.56,57700,9.72,9.72,9.38,9.56,9.66761227,9.83591045,-0.16829818,-0.22854027
1400734800,05/22/2014,00:00:00,9.53,53200,9.62,9.62,9.37,9.53,9.64644115,9.81325042,-0.16680927,-0.21619407
1400821200,05/23/2014,00:00:00,9.8,84100,9.56,9.94,9.56,9.8,9.67006559,9.81226890,-0.14220332,-0.20139592
1401166800,05/27/2014,00:00:00,9.79,77300,9.94,10.0,9.38,9.79,9.68851703,9.81061935,-0.12210232,-0.18553720
1401253200,05/28/2014,00:00:00,9.68,46000,9.76,9.86,9.56,9.68,9.68720672,9.80094385,-0.11373713,-0.17117719
1401339600,05/29/2014,00:00:00,9.63,29500,9.69,9.71,9.59,9.63,9.67840569,9.78828134,-0.10987565,-0.15891688
