UNIX Time,Date,Time,Price,Volume,Open,High,Low,Close,MACD (12|26|9)-EMAS,MACD (12|26|9)-EMAF,MACD (12|26|9)-MACD,MACD (12|26|9)-SIGNAL
1375851600,08/07/2013,00:00:00,9.0,5445100,9.05,9.86,8.73,9.0,9.00000000,9.00000000,0.00000000,0.00000000
1375938000,08/08/2013,00:00:00,8.87,410200,9.14,9.2,8.75,8.87,8.98000000,8.99037037,-0.01037037,-0.00207407
1376024400,08/09/2013,00:00:00,8.97,317800,9.09,9.1,8.8,8.97,8.97846154,8.98886145,-0.01039992,-0.00373924
1376283600,08/12/2013,00:00:00,9.1,194300,8.94,9.2,8.9,9.1,8.99715976,8.99709394,0.00006582,-0.00297823
1376370000,08/13/2013,00:00:00,9.1,277000,9.1,9.27,9.0,9.1,9.01298134,9.00471661,0.00826473,-0.00072964
1376456400,08/14/2013,00:00:00,9.0,379300,9.1,9.14,8.51,9.0,9.01098421,9.00436723,0.00661698,0.00073969
1376542800,08/15/2013,00:00:00,8.9,33800,8.92,9.05,8.9,8.9,8.99390972,8.99663633,-0.00272661,0.00004643
1376629200,08/16/2013,00:00:00,8.95,165600,8.9,9.05,8.9,8.95,8.98715437,8.99318178,-0.00602741,-0.00116834
1376888400,08/19/2013,00:00:00,8.93,23900,8.91,8.98,8.9,8.93,8.97836139,8.98850165,-0.01014026,-0.00296272
1376974800,08/20/2013,00:00:00,8.8,82700,8.92,8.92,8.76,8.8,8.95092118,8.97453857,-0.02361739,-0.00709366
1377061200,08/21/2013,00:00:00,8.8,90200,8.83,8.9,8.8,8.8,8.92770254,8.96160978,-0.03390725,-0.01245637
1377147600,08/22/2013,00:00:00,8.7,178100,8.85,8.92,8.7,8.7,8.89267138,8.94223128,-0.04955990,-0.01987708
1377234000,08/23/2013,00:00:00,8.6,79600,8.72,8.72,8.6,8.6,8.84764501,8.91688082,-0.06923580,-0.02974882
1377493200,08/26/2013,00:00:00,8.55,68200,8.67,8.77,8.54,8.55,8.80185347,8.88970446,-0.08785099,-0.04136926
1377579600,08/27/2013,00:00:00,8.43,115400,8.51,8.59,8.19,8.43,8.74464524,8.85565228,-0.11100703,-0.05529681
1377666000,08/28/2013,00:00:00,8.39,169900,8.48,8.61,8.34,8.39,8.69008444,8.82115952,-0.13107508,-0.07045247
1377752400,08/29/2013,00:00:00,8.64,162800,8.44,8.75,8.29,8.64,8.68237914,8.80774029,-0.12536115,-0.08143420
1377838800,08/30/2013,00:00:00,8.48,94800,8.6,8.9,8.4,8.48,8.65124389,8.78346323,-0.13221935,-0.09159123
1378184400,09/03/2013,00:00:00,8.45,118700,8.66,8.85,8.3,8.45,8.62028329,8.75876225,-0.13847896,-0.10096878
1378270800,09/04/2013,00:00:00,8.16,113300,8.32,8.38,7.8,8.16,8.54947048,8.71440949,-0.16493902,-0.11376283
1378357200,09/05/2013,00:00:00,8.13,57300,8.13,8.19,8.1,8.13,8.48493656,8.67111990,-0.18618335,-0.12824693
1378443600,09/06/2013,00:00:00,8.16,18900,8.18,8.19,8.1,8.16,8.43494632,8.63325917,-0.19831285,-0.14226011
1378702800,09/09/2013,00:00:00,8.65,373100,8.7,9.0,8.54,8.65,8.46803150,8.63449923,-0.16646773,-0.14710164
1378789200,09/10/2013,00:00:00,8.95,235600,8.73,9.02,8.73,8.95,8.54218050,8.65786966,-0.11568916,-0.14081914
1378875600,09/11/2013,00:00:00,9.83,386000,9.09,10.11,9.0,9.83,8.74030658,8.74469413,-0.00438755,-0.11353282
1378962000,09/12/2013,00:00:00,10.15,413200,9.9,10.57,9.85,10.15,8.95718249,8.84879086,0.10839163,-0.06914793
1379048400,09/13/2013,00:00:00,10.13,134000,10.24,10.24,9.86,10.13,9.13761595,8.94369524,0.19392071,-0.01653420
1379307600,09/16/2013,00:00:00,9.87,101900,10.3,10.42,9.85,9.87,9.25029042,9.01231041,0.23798001,0.03436864
1379394000,09/17/2013,00:00:00,9.87,70800,9.87,10.06,9.87,9.87,9.34563036,9.07584297,0.26978739,0.08145239
1379480400,09/18/2013,00:00:00,11.02,201800,10.2,11.2,10.05,11.02,9.60322569,9.21985460,0.38337108,0.14183613
1379566800,09/19/2013,00:00:00,11.64,331700,11.31,11.75,11.22,11.64,9.91657558,9.39912463,0.51745095,0.21695909
